Group,X,Y
236,11248.455238114639,2864.8207288036983
237,11108.286895584622,2775.2879144322305
238,11682.98226867436,2782.715296996307
239,11486.08283074546,2810.1479458658882
240,10812.377114180004,2854.406927047576
241,11877.167387312902,2907.929547434498
242,10332.35173538572,2980.4446341906455
243,11721.268763570975,2987.6718542090407
244,11026.853216092863,3095.561576190316
245,11839.169241621057,3209.0202516793697
246,10458.159779141179,3086.041249341744
247,11253.281983435858,3087.8062118777866
248,12603.339538487884,3158.4000675326447
249,10235.923594656528,3400.545932091175
250,11667.06171979091,3234.964611047558
251,11514.096409915393,3146.412957816761
252,11700.8040241762,3438.240279523833
253,10483.262228700007,3378.1393193506447
254,10914.165431420006,3779.2238122476074
255,11495.307260741669,3545.934509047573
256,11948.888276328584,3649.7524664760876
257,11774.677934280642,3678.525126789372
258,12727.887267853854,3886.4244316115482
259,11256.721957996298,3674.769166455008
260,11062.431533881832,3546.1396187446626
261,12389.409246450006,3787.3987356101807
262,11502.829719116673,3834.45577571428
